LEAVING COND WATER TEMP.suministro condensador ch3 (deg F);CONDENSER PRESSURE.presion de Condensador (psi);EVAPORATOR PRESSURE.Presion Evaporador (psi);ENTERING COND WATER TEMP.retorno condensador ch3 (deg F);ENTERING CHW TEMP.retorno ch3 (deg F);LEAVING CHW TEMP.suministro ch3 (deg F);DISCHARGE TEMP.Temperatura Descarga (deg F);OIL SUMP TEMPERATURE.temperatura deposito aceite (deg F);EVAP SATURATION TEMP.Temperatura Saturacion Evaporador (deg F);COND SATURATION TEMP.Temperatura Saturacion Condensacion (deg F);OIL SUMP PRESSURE.Presion deposito aceite (psi);MOTOR CURRENT PCT FLA.% FLA CHILLER (%)
81.9;103.2;37.9;78.8;51.5;44.0;101.1;122.6;42.4;90.4;37.2;31.0
81.9;105.9;37.5;78.8;51.2;44.0;102.3;122.4;42.3;90.5;36.6;34.0
81.9;104.8;37.4;78.8;50.6;43.7;102.1;122.7;42.3;90.0;36.6;30.0
81.9;105.3;37.4;78.8;50.8;44.2;102.2;122.9;42.8;89.8;36.6;31.0
81.9;104.2;37.6;78.9;50.8;44.1;101.4;122.7;42.8;89.8;36.5;33.0
81.9;105.8;37.7;78.9;51.6;44.1;102.5;122.8;42.6;91.2;36.9;31.0
81.9;107.5;37.4;78.9;51.6;44.0;103.5;122.7;42.3;91.7;36.4;29.0
81.9;106.1;37.3;78.9;50.6;43.7;103.7;123.2;42.3;90.6;36.5;31.0
81.9;105.4;37.6;78.9;50.8;44.0;102.9;123.7;42.6;90.4;36.7;32.0
81.3;106.1;37.7;78.7;51.6;44.6;103.0;123.7;43.0;91.2;36.9;34.0
81.3;107.6;37.4;78.7;51.6;44.0;103.6;123.0;42.4;91.9;36.4;42.0
81.3;107.6;37.3;78.7;51.6;44.0;103.9;123.2;42.5;91.8;36.5;39.0
81.3;107.8;37.3;78.7;51.5;44.0;104.3;123.1;42.4;92.0;36.2;43.0
81.3;108.4;37.4;78.7;52.0;44.1;104.1;123.3;42.7;92.2;36.4;41.0
81.2;108.6;37.5;78.6;52.2;44.1;104.0;123.1;42.3;92.5;36.4;41.0
81.2;108.5;37.5;78.6;52.2;44.3;104.1;123.0;42.7;92.5;36.5;48.0
82.3;108.6;37.4;78.6;51.8;43.9;104.2;123.1;42.3;92.2;36.2;49.0
82.3;108.4;37.6;78.6;51.7;44.0;104.0;123.4;42.5;91.7;36.6;49.0
81.3;108.4;37.4;78.6;52.1;44.1;104.0;123.3;42.4;92.3;36.5;49.0
82.0;109.1;37.4;78.4;51.8;44.0;104.7;123.0;42.5;92.4;36.1;47.0
82.0;108.8;37.3;78.4;51.8;44.0;104.6;122.9;42.5;92.1;36.2;46.0
82.1;106.9;37.2;78.4;51.2;43.8;103.8;123.4;42.3;91.2;36.4;40.0
82.2;106.4;37.6;78.4;51.9;44.0;102.8;123.5;42.3;91.7;36.8;37.0
81.9;108.1;37.5;78.4;51.9;44.2;103.9;123.4;42.5;92.0;36.3;33.0
82.0;108.5;37.5;78.3;52.2;44.2;104.2;123.3;42.6;92.6;36.3;32.0
81.9;109.2;37.4;78.3;52.1;44.0;104.6;123.1;42.4;92.5;36.3;32.0
80.6;108.6;37.4;78.3;51.7;43.9;104.1;123.3;42.4;91.8;36.4;32.0
81.7;107.9;37.5;78.3;51.4;44.0;103.8;123.8;42.4;91.7;36.7;33.0
80.4;107.0;37.3;78.3;51.6;44.1;103.8;123.8;42.5;91.4;36.4;32.0
80.0;108.0;37.5;78.2;51.4;44.0;103.9;123.5;42.3;91.7;36.6;30.0
80.0;106.5;37.4;78.2;50.9;43.9;103.6;123.6;42.4;90.6;36.4;32.0
80.0;105.3;37.3;78.2;51.0;44.0;102.9;123.9;42.6;90.2;36.5;31.0
80.0;104.0;37.5;78.2;50.6;43.9;102.6;123.9;42.6;89.7;36.7;30.0
80.0;105.6;37.5;78.2;51.3;44.0;102.2;123.5;42.6;90.7;36.8;32.0
80.6;105.2;37.6;77.8;51.3;44.1;102.5;123.3;42.6;90.6;36.9;32.0
80.6;105.3;37.7;77.8;51.2;44.1;102.5;122.9;42.6;90.6;36.7;30.0
80.6;104.4;37.2;77.8;51.0;43.9;102.3;123.1;42.3;90.2;36.9;30.0
80.6;104.6;37.3;77.8;51.2;43.9;101.7;123.1;42.3;90.3;36.4;30.0
80.6;105.1;37.4;77.8;51.4;44.2;102.1;123.0;42.6;90.6;36.6;34.0
79.6;105.6;37.7;77.8;51.7;44.1;102.5;122.8;42.7;91.2;37.1;36.0
